Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,126.230003,126.639999,124.889999,125.66999799999999,110.27063000000001,250000
2015-01-05,124.440002,124.610001,123.050003,123.370003,108.25246399999999,240600
2015-01-06,123.400002,123.720001,121.209999,122.099998,107.138084,285600
2015-01-07,125.519997,126.059998,125.059998,125.16999799999999,109.83189399999999,385700
2015-01-08,126.449997,127.699997,126.449997,127.58000200000001,111.94657099999999,498800
2015-01-09,127.769997,127.769997,125.980003,126.08000200000001,110.63038600000002,150300
2015-01-12,126.5,127.739998,125.339996,126.040001,110.595284,306700
2015-01-13,127.050003,127.870003,125.629997,126.410004,110.919952,252900
2015-01-14,125.41999799999999,125.980003,124.629997,125.82,110.402245,363800
2015-01-15,127.870003,128.369995,126.629997,126.779999,111.244606,310400
2015-01-16,128.320007,129.0,128.050003,128.880005,113.08728,441600
2015-01-20,129.5,129.78999299999998,128.759995,129.16000400000001,113.33296200000001,436700
2015-01-21,128.360001,128.820007,128.009995,128.66000400000001,112.89423400000001,606700
2015-01-22,128.970001,130.229996,127.959999,129.860001,113.947189,235500
2015-01-23,130.0,130.21000700000002,129.5,129.66000400000001,113.77168999999999,292900
2015-01-26,130.979996,132.309998,130.979996,131.860001,115.70211,350600
2015-01-27,131.130005,131.729996,130.880005,131.100006,115.03523999999999,301000
2015-01-28,132.229996,132.419998,130.699997,130.949997,114.90361000000001,304100
2015-01-29,131.479996,132.179993,130.940002,132.149994,115.95657299999999,411800
2015-01-30,129.490005,129.979996,128.690002,128.850006,113.060951,273900
2015-02-02,130.100006,131.130005,129.71000700000002,131.08999599999999,115.026459,280200
2015-02-03,129.550003,131.169998,129.419998,131.100006,115.03523999999999,458000
2015-02-04,132.199997,134.240005,132.199997,132.679993,116.421623,471300
2015-02-05,130.979996,131.919998,130.779999,131.740005,115.59681699999999,448000
2015-02-06,129.770004,130.490005,129.369995,129.570007,113.69272600000001,379900
2015-02-09,129.470001,129.75,128.96000700000002,129.16000400000001,113.33296200000001,186000
2015-02-10,129.71000700000002,131.059998,129.71000700000002,130.850006,114.81588700000002,229100
2015-02-11,130.800003,131.25,130.740005,131.020004,114.965057,449200
2015-02-12,131.389999,131.990005,131.199997,131.820007,115.667023,327600
2015-02-13,131.990005,132.78999299999998,131.990005,132.490005,116.254921,301000
2015-02-17,132.0,132.690002,132.0,132.080002,115.895149,365400
2015-02-18,133.66000400000001,134.360001,133.649994,134.16000400000001,117.720284,258400
2015-02-19,134.5,135.490005,134.380005,135.279999,118.703026,218600
2015-02-20,135.940002,136.990005,135.860001,136.899994,120.12451200000001,239800
2015-02-23,136.899994,137.199997,136.41000400000001,136.979996,120.194702,199800
2015-02-24,137.600006,138.699997,137.240005,138.33999599999999,121.388062,335000
2015-02-25,136.800003,137.139999,136.389999,136.869995,120.09818999999999,236800
2015-02-26,136.880005,137.46000700000002,136.630005,136.800003,120.036774,258000
2015-02-27,135.350006,135.800003,135.350006,135.369995,118.781998,219900
2015-03-02,135.25,136.0,135.25,135.869995,119.22074099999999,254500
2015-03-03,135.369995,135.83999599999999,135.070007,135.399994,118.808319,208000
2015-03-04,135.399994,135.58999599999999,134.399994,135.520004,118.913628,205500
2015-03-05,134.96000700000002,135.419998,134.649994,134.899994,118.36959099999999,232900
2015-03-06,135.320007,135.979996,134.699997,134.889999,118.360817,184700
2015-03-09,135.5,135.649994,134.940002,135.389999,118.799553,174100
2015-03-10,134.149994,134.380005,133.600006,133.690002,117.30786100000002,220900
2015-03-11,134.199997,134.449997,133.830002,134.0,117.57988700000001,222700
2015-03-12,136.169998,137.669998,136.169998,137.529999,120.677315,313200
2015-03-13,135.860001,136.380005,135.46000700000002,136.169998,119.48398600000002,393200
2015-03-16,137.360001,138.139999,137.16000400000001,137.520004,120.668549,271000
2015-03-17,137.08999599999999,137.369995,136.600006,136.96000700000002,120.177177,816400
2015-03-18,139.100006,140.259995,138.490005,140.080002,122.914856,457900
2015-03-19,140.139999,140.58999599999999,139.649994,140.100006,122.932404,310600
2015-03-20,142.639999,143.5,142.529999,143.08999599999999,125.55600700000001,406900
2015-03-23,145.330002,145.800003,144.949997,145.320007,127.51276399999999,480700
2015-03-24,145.229996,145.229996,144.399994,144.520004,126.810783,303700
2015-03-25,145.25,145.25,143.779999,143.809998,126.18778200000001,328600
2015-03-26,143.0,143.66000400000001,142.71000700000002,143.110001,125.573555,324400
2015-03-27,142.33999599999999,142.509995,141.720001,142.399994,126.73220800000001,238100
2015-03-30,141.669998,142.940002,141.380005,142.550003,126.865723,484100
2015-03-31,140.880005,140.940002,139.71000700000002,139.889999,124.498375,555100
2015-04-01,138.330002,138.66000400000001,137.770004,138.479996,123.243523,358900
2015-04-02,139.830002,140.899994,139.630005,140.020004,124.61408200000001,249000
2015-04-06,140.0,141.21000700000002,140.0,140.639999,125.16588600000001,157800
2015-04-07,140.100006,140.639999,139.649994,139.720001,124.347099,260800
2015-04-08,139.860001,140.369995,139.53999299999998,139.940002,124.542877,142100
2015-04-09,139.100006,140.119995,139.0,139.91000400000001,124.51619699999999,276700
2015-04-10,138.71000700000002,139.820007,138.66000400000001,139.649994,124.284782,320300
2015-04-13,137.669998,138.0,137.199997,137.559998,122.42473600000001,320200
2015-04-14,138.690002,138.979996,138.130005,138.66000400000001,123.403732,171600
2015-04-15,139.229996,139.380005,138.679993,139.080002,123.77751200000002,177600
2015-04-16,139.179993,139.5,138.78999299999998,138.979996,123.688507,186500
2015-04-17,138.990005,139.029999,138.0,138.429993,123.199028,253900
2015-04-20,138.740005,139.33999599999999,138.639999,138.729996,123.466026,151600
2015-04-21,141.369995,141.899994,141.279999,141.330002,125.77996100000001,365800
2015-04-22,141.470001,141.889999,141.169998,141.66000400000001,126.073647,163600
2015-04-23,141.16000400000001,141.279999,140.619995,141.029999,125.512955,393000
2015-04-24,141.259995,141.470001,140.979996,141.21000700000002,125.673157,277500
2015-04-27,140.96000700000002,141.25,140.550003,140.66000400000001,125.18366999999999,273000
2015-04-28,142.179993,142.83999599999999,141.600006,142.059998,126.429626,421900
2015-04-29,141.330002,142.470001,140.070007,140.78999299999998,125.299347,282900
2015-04-30,140.0,140.320007,138.71000700000002,139.020004,123.724106,246800
2015-05-01,138.75,139.96000700000002,138.720001,139.96000700000002,124.560677,247100
2015-05-04,139.78999299999998,140.429993,139.580002,140.059998,124.649689,172000
2015-05-05,139.46000700000002,139.800003,137.449997,137.550003,122.41586299999999,266100
2015-05-06,137.320007,137.990005,136.5,137.16000400000001,122.068771,322500
2015-05-07,136.860001,138.059998,136.83999599999999,137.919998,122.745125,208500
2015-05-08,139.5,142.33999599999999,139.369995,142.119995,126.48301699999999,319400
2015-05-11,137.880005,138.360001,137.419998,137.449997,122.326851,756700
2015-05-12,137.509995,138.050003,137.0,137.66000400000001,122.513741,579400
2015-05-13,137.350006,137.940002,136.520004,136.619995,121.588173,359700
2015-05-14,137.729996,137.990005,136.96000700000002,137.949997,122.771828,150400
2015-05-15,138.649994,139.389999,138.649994,139.369995,124.035599,177700
2015-05-18,139.389999,139.490005,139.149994,139.429993,124.088982,141300
2015-05-19,139.850006,140.240005,139.279999,139.529999,124.178009,223700
2015-05-20,139.199997,139.649994,138.770004,139.009995,123.715202,121000
2015-05-21,138.779999,139.550003,138.779999,139.440002,124.0979,141900
2015-05-22,137.979996,138.66000400000001,137.91000400000001,138.220001,123.01213100000001,202800
2015-05-26,138.470001,138.470001,137.139999,137.699997,122.549347,293200
2015-05-27,138.720001,139.0,138.309998,138.770004,123.501625,247000
2015-05-28,138.850006,139.96000700000002,138.820007,139.740005,124.364906,220000
2015-05-29,138.740005,138.740005,137.509995,137.889999,122.71844499999999,310600
2015-06-01,137.800003,137.979996,136.809998,137.240005,122.139969,280100
2015-06-02,136.740005,137.149994,136.470001,136.570007,121.543678,275900
2015-06-03,137.509995,137.880005,137.0,137.440002,122.317955,240300
2015-06-04,136.929993,137.529999,136.630005,136.850006,121.79287,231000
2015-06-05,135.990005,135.990005,135.259995,135.509995,120.60028799999999,167200
2015-06-08,133.580002,133.899994,132.619995,133.149994,118.499954,304900
2015-06-09,132.5,132.740005,131.919998,132.300003,117.7435,236300
2015-06-10,133.83999599999999,134.58999599999999,133.729996,134.240005,119.470032,166200
2015-06-11,135.240005,135.509995,134.899994,135.179993,120.306602,152600
2015-06-12,135.449997,135.869995,135.08999599999999,135.490005,120.582489,191400
2015-06-15,135.199997,135.830002,135.169998,135.509995,120.60028799999999,292700
2015-06-16,135.699997,136.169998,135.509995,136.059998,121.08979,179200
2015-06-17,134.309998,135.08999599999999,133.75,134.869995,120.030716,344900
2015-06-18,133.5,134.850006,133.5,134.479996,119.683632,246300
2015-06-19,134.479996,134.619995,133.940002,134.020004,119.274254,179800
2015-06-22,135.16000400000001,136.350006,135.16000400000001,135.479996,120.57359299999999,263100
2015-06-23,136.949997,137.25,136.78999299999998,137.100006,122.01535,270500
2015-06-24,136.009995,136.009995,135.330002,135.399994,120.502403,149000
2015-06-25,135.350006,135.509995,134.850006,134.869995,120.030716,180800
2015-06-26,135.33999599999999,135.880005,135.149994,135.46000700000002,120.55581699999999,138900
2015-06-29,134.100006,134.130005,132.399994,132.449997,117.876976,191100
2015-06-30,134.220001,134.479996,133.550003,133.75,119.03393600000001,216300
2015-07-01,133.720001,133.83999599999999,133.139999,133.600006,118.90045900000001,157100
2015-07-02,132.720001,132.929993,132.429993,132.75,118.14398200000001,276800
2015-07-06,132.25,133.100006,132.130005,132.729996,118.126175,132000
2015-07-07,132.259995,132.53999299999998,130.75,132.380005,117.81468999999998,288600
2015-07-08,130.110001,130.139999,127.940002,128.110001,114.014496,717300
2015-07-09,130.16000400000001,130.529999,128.929993,129.029999,114.83328200000001,186900
2015-07-10,130.559998,131.869995,129.919998,131.520004,117.04931599999999,401900
2015-07-13,133.020004,133.619995,133.020004,133.440002,118.75806399999999,214900
2015-07-14,133.130005,133.699997,132.929993,133.449997,118.766953,195300
2015-07-15,134.070007,134.619995,133.78999299999998,133.990005,119.247543,294100
2015-07-16,136.240005,136.389999,135.66000400000001,135.770004,120.831703,441200
2015-07-17,134.699997,135.490005,134.699997,135.360001,120.46680500000001,186100
2015-07-20,135.78999299999998,136.110001,135.41000400000001,135.53999299999998,120.626999,352500
2015-07-21,134.91000400000001,135.029999,134.149994,134.559998,119.75483700000001,200500
2015-07-22,133.800003,134.429993,133.800003,133.990005,119.247543,196400
2015-07-23,133.690002,133.919998,133.080002,133.25,118.588959,196100
2015-07-24,133.619995,133.889999,132.320007,132.550003,117.96599599999999,130200
2015-07-27,131.5,131.869995,131.21000700000002,131.78999299999998,117.28958899999999,187700
2015-07-28,131.080002,131.919998,130.369995,131.83999599999999,117.334099,383500
2015-07-29,131.71000700000002,132.83999599999999,131.600006,132.570007,117.98378000000001,212500
2015-07-30,132.0,132.429993,131.25,132.270004,117.71678899999999,270100
2015-07-31,133.509995,133.71000700000002,133.050003,133.46000700000002,118.77586399999998,226200
2015-08-03,132.440002,133.389999,132.0,133.179993,118.526665,315100
2015-08-04,131.369995,131.389999,128.380005,129.850006,115.56304899999999,515200
2015-08-05,128.66000400000001,128.979996,128.169998,128.309998,114.19248999999999,476500
2015-08-06,128.96000700000002,129.449997,128.649994,128.809998,114.63748899999999,278800
2015-08-07,129.860001,130.0,129.520004,129.949997,115.65203899999999,163900
2015-08-10,130.5,131.429993,130.070007,131.08999599999999,116.666618,300900
2015-08-11,129.649994,129.649994,128.690002,129.009995,114.815475,236100
2015-08-12,127.290001,127.690002,126.029999,127.41999799999999,113.400421,768000
2015-08-13,127.150002,128.149994,126.860001,127.790001,113.72971299999999,188700
2015-08-14,127.790001,128.240005,127.58000200000001,128.190002,114.08569299999999,130600
2015-08-17,127.5,127.989998,127.099998,127.870003,113.800896,155700
2015-08-18,127.610001,128.070007,127.440002,127.870003,113.800896,185400
2015-08-19,126.389999,127.010002,125.66999799999999,126.040001,112.172249,286500
2015-08-20,124.540001,124.540001,122.449997,122.5,109.021744,536700
2015-08-21,122.099998,122.459999,118.910004,119.050003,105.951347,504600
2015-08-24,110.230003,116.050003,109.07,113.519997,101.02977800000001,1009000
2015-08-25,117.709999,117.709999,113.370003,113.370003,100.896294,576800
2015-08-26,116.800003,117.949997,115.059998,117.839996,104.87447399999999,395600
2015-08-27,118.66999799999999,119.879997,118.32,119.57,106.414124,399600
2015-08-28,121.019997,121.610001,120.33000200000001,120.769997,107.48209399999999,285800
2015-08-31,119.129997,119.260002,118.190002,118.379997,105.355049,243000
2015-09-01,115.58000200000001,115.93,114.08000200000001,114.339996,101.75956,426000
2015-09-02,117.25,117.690002,116.209999,117.620003,104.678673,266100
2015-09-03,120.190002,120.440002,119.339996,119.610001,106.449722,352100
2015-09-04,116.68,116.900002,115.839996,116.5,103.68190799999999,262200
2015-09-08,120.199997,121.339996,120.129997,121.239998,107.900375,398400
2015-09-09,123.260002,123.410004,120.440002,120.620003,107.34861000000001,1331300
2015-09-10,118.959999,118.959999,117.400002,117.940002,104.96347,2073300
2015-09-11,116.489998,117.099998,115.889999,117.099998,104.21588100000001,531200
2015-09-14,116.730003,117.059998,116.0,116.349998,103.548416,351200
2015-09-15,119.059998,120.129997,118.690002,119.959999,106.76120800000001,442200
2015-09-16,121.809998,122.33000200000001,121.540001,122.0,108.57675900000001,439600
2015-09-17,121.029999,122.82,120.870003,121.239998,107.900375,243300
